nome,categoria,codigo,creditos,pre_requisitos,quantidade_vagas,areas
Fundamentos de Matemática para Ciência da Computação I,Obrigatório,1411311,4,-,"120, 130",
Programação I,Obrigatório,1411167,4,-,"110, 120",
Laboratório de Programação I,Obrigatório,1411180,4,-,"140, 120",
Introdução à Computação,Obrigatório,1411174,4,-,"105, 96",
Fundamentos de Matemática para Ciência da Computação II,Obrigatório,1411312,4,1411311,"100, 100",
Cálculo Diferencial e Integral I,Obrigatório,1109103,4,1411311,"20, 160",
Programação II,Obrigatório,1411168,4,"1411167, 1411180","95, 100",
Laboratório de Programação II,Obrigatório,1411181,4,"1411167, 1411180","105, 90",
Álgebra Linear I,Obrigatório,1109049,4,1411312,"70, 80",
Lógica para Computação,Obrigatório,1411307,4,1411312,"55, 60",
Cálculo Diferencial e Integral II,Obrigatório,1109053,4,1109103,"80, 40",
Estrutura de Dados,Obrigatório,1411305,4,"1411168, 1411181","86, 90",
Laboratório de Estrutura de Dados,Obrigatório,1411306,4,"1411168, 1411181","80, 90",
Teoria dos Grafos,Obrigatório,1411304,4,- ,"83, 40",
Introdução à Probabilidade,Obrigatório,1114129,4,"1109103, 1411312","100, 50",
Projeto de Software,Obrigatório,1411308,4,"1411167, 1411180","80, 70",
Paradigmas de Linguagens de Programação,Obrigatório,1411309,4,"1411167, 1411180","83, 90",
Banco de dados I,Obrigatório,1411193,4,1411305,"80, 80",
Organização e Arquitetura de Computadores,Obrigatório,1411310,4,1411174,"75, 140",
Laboratório de Organização e Arquitetura de Computadores,Obrigatório,1411182,4,1411174,"69, 140",
Estatística Aplicada,Obrigatório,1114222,4,1114129,"45, 65",
Análise de Sistemas,Obrigatório,1411313,4,"1411167, 1411180","78, 45",
Engenharia de Software,Obrigatório,1411314,4,"1411167, 1411180","60, 60",
Redes de Computadores,Obrigatório,1411190,4,1411174,"50, 105",
Sistemas Operacionais,Obrigatório,1411192,4,"1411310, 1411182","45, 70",
Teoria da Computação,Obrigatório,1411171,4,1411309,"80, 50",
Metodologia Científica,Obrigatório,1305218,4,1114222,"50, -",
Programação Concorrente,Obrigatório,1411315,4,1411192,"35, 45",
Inteligência Artificial,Obrigatório,1411316,4,1411309,"48, 110",
Análise e Técnicas de Algoritmos,Obrigatório,1411187,4,"1411305, 1411306","60, 70",
Compiladores,Obrigatório,1411189,4,1411309,"40, 80",
Projeto em Computação I,Obrigatório,1411185,4,1411314,"45, 50",
Projeto de Trabalho de Conclusão de Curso,Obrigatório,1411317,4,-,"-, 20",
Projeto em Computação II,Obrigatório,1411348,4,1411185,"45, 45",
Trabalho de Conclusão de Curso,Obrigatório,1411318,4,1411317,"-, -",